"cbsa10","state_num","zip","state_abbreviation","cbsa_name","zip_name","population_2016","allocation_factor"
"10020","22","70510","LA","Abbeville, LA Micropolitan Statistical Area","Abbeville, LA",26275.783,0.436 
"10020","22","70526","LA","Abbeville, LA Micropolitan Statistical Area","Crowley, LA",92.385,0.002 
"10020","22","70528","LA","Abbeville, LA Micropolitan Statistical Area","Delcambre, LA",1901.68,0.032 
"10020","22","70533","LA","Abbeville, LA Micropolitan Statistical Area","Erath, LA",7564.162,0.126 
"10020","22","70542","LA","Abbeville, LA Micropolitan Statistical Area","Gueydan, LA",3385.033,0.056 
"10020","22","70548","LA","Abbeville, LA Micropolitan Statistical Area","Kaplan, LA",10746.778,0.179 
"10020","22","70555","LA","Abbeville, LA Micropolitan Statistical Area","Maurice, LA",7374.202,0.122 
"10020","22","70560","LA","Abbeville, LA Micropolitan Statistical Area","New Iberia, LA",669.533,0.011 
"10020","22","70575","LA","Abbeville, LA Micropolitan Statistical Area","Perry, LA (PO Boxes)",57.092,0.001 
"10020","22","70578","LA","Abbeville, LA Micropolitan Statistical Area","Rayne, LA",920.737,0.015 
"10020","22","70592","LA","Abbeville, LA Micropolitan Statistical Area","Youngsville, LA",1215.539,0.02 
"10020","22","99999","LA","Abbeville, LA Micropolitan Statistical Area","99999",2.076,0 
"10100","46","57401","SD","Aberdeen, SD Micropolitan Statistical Area","Aberdeen, SD",32198.046,0.747 
"10100","46","57426","SD","Aberdeen, SD Micropolitan Statistical Area","Barnard, SD (PO Boxes)",67.479,0.002 
"10100","46","57427","SD","Aberdeen, SD Micropolitan Statistical Area","Bath, SD",664.076,0.015 
"10100","46","57428","SD","Aberdeen, SD Micropolitan Statistical Area","Bowdle, SD",627.117,0.015 
"10100","46","57432","SD","Aberdeen, SD Micropolitan Statistical Area","Claremont, SD",312.758,0.007 
"10100","46","57433","SD","Aberdeen, SD Micropolitan Statistical Area","Columbia, SD",410.228,0.01 
"10100","46","57434","SD","Aberdeen, SD Micropolitan Statistical Area","Conde, SD",227.071,0.005 
"10100","46","57435","SD","Aberdeen, SD Micropolitan Statistical Area","Cresbard, SD",34.948,0.001 
"10100","46","57439","SD","Aberdeen, SD Micropolitan Statistical Area","Ferney, SD",55.697,0.001 
"10100","46","57441","SD","Aberdeen, SD Micropolitan Statistical Area","Frederick, SD",650.152,0.015 
"10100","46","57445","SD","Aberdeen, SD Micropolitan Statistical Area","Groton, SD",2215.015,0.051 
"10100","46","57446","SD","Aberdeen, SD Micropolitan Statistical Area","Hecla, SD",505.555,0.012 
"10100","46","57448","SD","Aberdeen, SD Micropolitan Statistical Area","Hosmer, SD",271.815,0.006 
"10100","46","57449","SD","Aberdeen, SD Micropolitan Statistical Area","Houghton, SD",156.379,0.004 
"10100","46","57451","SD","Aberdeen, SD Micropolitan Statistical Area","Ipswich, SD",2233.798,0.052 
"10100","46","57456","SD","Aberdeen, SD Micropolitan Statistical Area","Leola, SD",85.428,0.002 
"10100","46","57460","SD","Aberdeen, SD Micropolitan Statistical Area","Mansfield, SD",282.402,0.007 
"10100","46","57466","SD","Aberdeen, SD Micropolitan Statistical Area","Onaka, SD",27.182,0.001 
"10100","46","57471","SD","Aberdeen, SD Micropolitan Statistical Area","Roscoe, SD",654.298,0.015 
"10100","46","57474","SD","Aberdeen, SD Micropolitan Statistical Area","Stratford, SD",211.005,0.005 
"10100","46","57475","SD","Aberdeen, SD Micropolitan Statistical Area","Tolstoy, SD",56.305,0.001 
"10100","46","57479","SD","Aberdeen, SD Micropolitan Statistical Area","Warner, SD",713.346,0.017 
"10100","46","57481","SD","Aberdeen, SD Micropolitan Statistical Area","Westport, SD",419.903,0.01 
"10140","53","98520","WA","Aberdeen, WA Micropolitan Statistical Area","Aberdeen, WA",23431.586,0.327 
"10140","53","98526","WA","Aberdeen, WA Micropolitan Statistical Area","Amanda Park, WA",391.609,0.005 
"10140","53","98535","WA","Aberdeen, WA Micropolitan Statistical Area","Copalis Beach, WA",437.854,0.006 
"10140","53","98536","WA","Aberdeen, WA Micropolitan Statistical Area","Copalis Crossing, WA",207.612,0.003 
"10140","53","98537","WA","Aberdeen, WA Micropolitan Statistical Area","Cosmopolis, WA",2014.129,0.028 
"10140","53","98541","WA","Aberdeen, WA Micropolitan Statistical Area","Elma, WA",8575.051,0.12 
"10140","53","98547","WA","Aberdeen, WA Micropolitan Statistical Area","Grayland, WA",861.933,0.012 
"10140","53","98550","WA","Aberdeen, WA Micropolitan Statistical Area","Hoquiam, WA",11199.224,0.156 
"10140","53","98552","WA","Aberdeen, WA Micropolitan Statistical Area","Neilton, WA",499.842,0.007 
"10140","53","98557","WA","Aberdeen, WA Micropolitan Statistical Area","McCleary, WA",3110.24,0.043 
"10140","53","98559","WA","Aberdeen, WA Micropolitan Statistical Area","Malone, WA (PO Boxes)",91.507,0.001 
"10140","53","98562","WA","Aberdeen, WA Micropolitan Statistical Area","Moclips, WA",191.869,0.003 
"10140","53","98563","WA","Aberdeen, WA Micropolitan Statistical Area","Montesano, WA",7872.517,0.11 
"10140","53","98568","WA","Aberdeen, WA Micropolitan Statistical Area","Oakville, WA",2433.288,0.034 
"10140","53","98569","WA","Aberdeen, WA Micropolitan Statistical Area","Ocean Shores, WA",5691.118,0.079 
"10140","53","98571","WA","Aberdeen, WA Micropolitan Statistical Area","Pacific Beach, WA",475.244,0.007 
"10140","53","98575","WA","Aberdeen, WA Micropolitan Statistical Area","Quinault, WA",224.339,0.003 
"10140","53","98583","WA","Aberdeen, WA Micropolitan Statistical Area","Satsop, WA",122.009,0.002 
"10140","53","98587","WA","Aberdeen, WA Micropolitan Statistical Area","Taholah, WA",926.873,0.013 
"10140","53","98595","WA","Aberdeen, WA Micropolitan Statistical Area","Westport, WA",2870.158,0.04 
"10180","48","76437","TX","Abilene, TX Metropolitan Statistical Area","Cisco, TX",132.649,0.001 
"10180","48","76443","TX","Abilene, TX Metropolitan Statistical Area","Cross Plains, TX",1800.967,0.011 
"10180","48","76464","TX","Abilene, TX Metropolitan Statistical Area","Moran, TX",32.652,0 
"10180","48","76469","TX","Abilene, TX Metropolitan Statistical Area","Putnam, TX",97.956,0.001 
"10180","48","79501","TX","Abilene, TX Metropolitan Statistical Area","Anson, TX",3494.295,0.021 
"10180","48","79503","TX","Abilene, TX Metropolitan Statistical Area","Avoca, TX",173.328,0.001 
"10180","48","79504","TX","Abilene, TX Metropolitan Statistical Area","Baird, TX",2831.549,0.017 
"10180","48","79508","TX","Abilene, TX Metropolitan Statistical Area","Buffalo Gap, TX",1289.496,0.008 
"10180","48","79510","TX","Abilene, TX Metropolitan Statistical Area","Clyde, TX",8107.924,0.048 
"10180","48","79520","TX","Abilene, TX Metropolitan Statistical Area","Hamlin, TX",2348.349,0.014 
"10180","48","79525","TX","Abilene, TX Metropolitan Statistical Area","Hawley, TX",2814.849,0.017 
"10180","48","79530","TX","Abilene, TX Metropolitan Statistical Area","Lawn, TX",498.356,0.003 
"10180","48","79533","TX","Abilene, TX Metropolitan Statistical Area","Lueders, TX",411.035,0.002 
"10180","48","79536","TX","Abilene, TX Metropolitan Statistical Area","Merkel, TX",5124.857,0.03 
"10180","48","79541","TX","Abilene, TX Metropolitan Statistical Area","Ovalo, TX",820.695,0.005 
"10180","48","79553","TX","Abilene, TX Metropolitan Statistical Area","Stamford, TX",3353.652,0.02 
"10180","48","79560","TX","Abilene, TX Metropolitan Statistical Area","Sylvester, TX",16.838,0 
"10180","48","79561","TX","Abilene, TX Metropolitan Statistical Area","Trent, TX",530.541,0.003 
"10180","48","79562","TX","Abilene, TX Metropolitan Statistical Area","Tuscola, TX",3809.308,0.022 
"10180","48","79563","TX","Abilene, TX Metropolitan Statistical Area","Tye, TX",1205.398,0.007 
"10180","48","79566","TX","Abilene, TX Metropolitan Statistical Area","Wingate, TX",176.501,0.001 
"10180","48","79567","TX","Abilene, TX Metropolitan Statistical Area","Winters, TX",67.486,0 
"10180","48","79601","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",25357.023,0.149 
"10180","48","79602","TX","Abilene, TX Metropolitan Statistical Area","Abilene, TX",22334.49,0.131 
