,METROPOLITAN STATISTICAL AREA (MSA),ORIGINAL DEBT TO INCOME RATIO,msa,solar_system_count
0,0,31.0,0.0,16.74576271186441
1,10180,35.0,10180.0,2.9655172413793105
2,10380,33.0,,
3,10420,30.0,10420.0,1.6962962962962962
4,10500,31.0,10500.0,1.3076923076923077
5,10540,32.0,10540.0,8.857142857142858
6,10580,31.0,10580.0,18.28921568627451
7,10740,30.0,10740.0,46.54891304347826
8,10780,33.0,10780.0,6.357142857142857
9,10900,32.0,10900.0,8.366013071895425
10,11020,30.0,11020.0,2.576923076923077
11,11100,33.0,11100.0,2.377049180327869
12,11180,30.0,11180.0,2.0
13,11260,31.0,,
14,11300,31.0,11300.0,1.6363636363636365
15,11340,30.0,11340.0,3.2083333333333335
16,11460,28.0,11460.0,3.831460674157303
17,11500,37.0,11500.0,1.44
18,11540,30.0,11540.0,3.1739130434782608
19,11640,33.0,,
20,11700,31.0,11700.0,6.271428571428571
21,12020,28.0,12020.0,2.259259259259259
22,12060,30.0,12060.0,2.6659012629161882
23,12100,32.0,12100.0,55.12280701754386
24,12220,29.0,12220.0,2.0
25,12260,29.0,12260.0,2.01980198019802
26,12420,32.0,12420.0,18.97151898734177
27,12540,36.0,12540.0,191.64566929133858
28,12580,32.0,12580.0,6.647951441578149
29,12620,33.0,12620.0,1.675
30,12700,33.0,12700.0,72.52
31,12940,30.0,12940.0,17.56338028169014
32,12980,33.0,12980.0,3.4782608695652173
33,13020,28.0,13020.0,3.272727272727273
34,13140,30.0,13140.0,3.011764705882353
35,13220,30.0,13220.0,0.7857142857142857
36,13380,32.0,13380.0,16.785714285714285
37,13460,33.0,13460.0,21.333333333333332
38,13740,35.0,13740.0,3.125
39,13780,33.0,13780.0,4.0
40,13820,30.0,13820.0,1.697211155378486
41,13900,30.0,13900.0,3.1666666666666665
42,13980,34.0,13980.0,5.875
43,14010,28.0,,
44,14020,30.0,14020.0,3.2666666666666666
45,14060,31.0,14060.0,3.176470588235294
46,14100,34.0,14100.0,0.0
47,14260,31.0,14260.0,8.352941176470589
48,14460,31.0,14460.0,30.626666666666665
49,14500,30.0,14500.0,62.125
50,14540,32.0,14540.0,5.5
51,14740,31.0,14740.0,7.865384615384615
52,14860,34.0,14860.0,18.92
53,15180,35.0,15180.0,2.1686746987951806
54,15260,31.0,15260.0,2.1
55,15380,33.0,15380.0,6.05338078291815
56,15500,29.0,15500.0,1.75
57,15540,34.0,15540.0,7.111111111111111
58,15680,30.0,,
59,15940,29.0,15940.0,2.0470588235294116
60,15980,33.0,15980.0,86.43448275862069
61,16020,29.0,16020.0,4.947368421052632
62,16060,26.0,16060.0,1.1666666666666667
63,16180,20.0,16180.0,15.875
64,16220,36.0,16220.0,4.333333333333333
65,16300,29.0,16300.0,5.375
66,16540,30.0,16540.0,4.304347826086956
67,16580,30.0,16580.0,5.06
68,16620,32.0,16620.0,1.5161290322580645
69,16700,31.0,16700.0,16.762237762237763
70,16740,30.0,16740.0,3.1778350515463916
71,16820,30.0,16820.0,3.3529411764705883
72,16860,28.0,16860.0,4.468085106382978
73,16940,30.0,16940.0,4.8
74,16980,32.0,16980.0,2.2780102278010226
75,17020,30.0,17020.0,57.21875
76,17140,31.0,17140.0,2.7735042735042734
77,17300,37.0,17300.0,1.3653846153846154
78,17420,33.0,17420.0,2.1153846153846154
79,17460,31.0,17460.0,2.1565891472868217
80,17660,34.0,17660.0,4.043478260869565
81,17780,31.0,17780.0,2.380952380952381
82,17820,31.0,17820.0,11.8
83,17860,30.0,17860.0,6.538461538461538
84,17900,30.0,17900.0,8.869047619047619
85,17980,30.0,17980.0,2.2337662337662336
86,18020,24.0,18020.0,2.0
87,18140,31.0,18140.0,2.3529411764705883
88,18580,30.0,18580.0,2.3440860215053765
89,18700,29.0,18700.0,34.4
90,18880,34.0,18880.0,7.466666666666667
91,19060,33.0,19060.0,1.25
92,19100,31.0,19100.0,9.0103668261563
93,19140,32.0,19140.0,5.551724137931035
94,19180,20.0,19180.0,1.44
95,19300,31.0,19300.0,6.615384615384615
96,19340,30.0,19340.0,1.8041237113402062
97,19380,33.0,19380.0,2.342995169082126
98,19430,32.0,,
99,19460,28.0,19460.0,1.9189189189189189
100,19500,27.0,19500.0,0.9354838709677419
101,19660,34.0,19660.0,56.10989010989011
102,19740,32.0,19740.0,33.55336617405583
103,19780,30.0,19780.0,3.4051724137931036
104,19820,31.0,19820.0,2.0859437751004015
105,20020,29.0,20020.0,1.1428571428571428
106,20100,30.0,20100.0,27.52173913043478
107,20220,28.0,20220.0,4.782608695652174
108,20260,32.0,20260.0,1.4142857142857144
109,20500,29.0,20500.0,6.24468085106383
110,20700,34.0,20700.0,2.6538461538461537
111,20740,32.0,20740.0,2.0
112,20940,36.0,20940.0,67.4
113,21060,29.0,21060.0,1.6666666666666667
114,21140,33.0,21140.0,3.90625
115,21300,15.0,21300.0,2.5172413793103448
116,21340,35.0,21340.0,26.946308724832214
117,21420,20.0,21420.0,7.454545454545454
118,21500,33.0,21500.0,2.413793103448276
119,21660,34.0,21660.0,15.012658227848101
120,21780,31.0,21780.0,3.4
121,21820,30.0,,
122,22020,31.0,22020.0,1.4242424242424243
123,22140,35.0,22140.0,5.321428571428571
124,22180,29.0,22180.0,4.578125
125,22220,29.0,22220.0,3.962025316455696
126,22380,34.0,22380.0,18.8
127,22420,29.0,22420.0,1.6209677419354838
